CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,Total Incidents
10/12/2015,18:00:00,6J,700 E PATAPSCO AVE,LARCENY,,913,SOUTHERN,Brooklyn,"(39.235710000000, -76.600470000000)",1
10/12/2015,17:10:00,5A,100 N ANN ST,BURGLARY,,212,SOUTHEASTERN,Washington Hill,"(39.292850000000, -76.591810000000)",1
10/12/2015,17:00:00,4E,6600 HOLABIRD AVE,COMMON ASSAULT,,243,SOUTHEASTERN,Broening Manor,"(39.272470000000, -76.533770000000)",1
10/12/2015,16:51:00,6B,0 N CHARLES ST,LARCENY,,111,CENTRAL,Downtown,"(39.290120000000, -76.615150000000)",1
10/12/2015,16:43:00,4E,1200 N MILTON AVE,COMMON ASSAULT,,332,EASTERN,Berea,"(39.305330000000, -76.582670000000)",1
10/12/2015,16:30:00,4E,800 E BALTIMORE ST,COMMON ASSAULT,,211,SOUTHEASTERN,Jonestown,"(39.290100000000, -76.605240000000)",1
10/12/2015,16:00:00,5A,700 N PATTERSON PARK AVE,BURGLARY,,323,EASTERN,Milton-Montford,"(39.299270000000, -76.585130000000)",1
10/12/2015,16:00:00,5E,800 W PATAPSCO AVE,BURGLARY,,922,SOUTHERN,Cherry Hill,"(39.244370000000, -76.632340000000)",1
10/12/2015,16:00:00,6D,300 S BOULDIN ST,LARCENY FROM AUTO,,231,SOUTHEASTERN,Highlandtown,"(39.288200000000, -76.570890000000)",1
10/12/2015,15:59:00,6C,1600 PENNSYLVANIA AVE,LARCENY,,123,CENTRAL,Upton,"(39.303440000000, -76.634580000000)",1
10/12/2015,15:30:00,5A,800 S CONKLING ST,BURGLARY,,232,SOUTHEASTERN,Canton,"(39.282900000000, -76.566950000000)",1
10/12/2015,15:00:00,6B,700 E PRATT ST,LARCENY,,112,CENTRAL,Inner Harbor,"(39.286820000000, -76.606390000000)",1
10/12/2015,14:30:00,6C,600 E PRATT ST,LARCENY,,112,CENTRAL,Inner Harbor,"(39.286700000000, -76.607810000000)",1
10/12/2015,14:00:00,6G,400 E PRATT ST,LARCENY,,112,CENTRAL,Inner Harbor,"(39.286630000000, -76.609800000000)",1
10/12/2015,13:30:00,7A,1100 N CALHOUN ST,AUTO THEFT,,743,WESTERN,Sandtown-Winchester,"(39.301320000000, -76.640290000000)",1
10/12/2015,13:00:00,5F,700 E FORT AVE,BURGLARY,,943,SOUTHERN,Riverside,"(39.272270000000, -76.603190000000)",1
10/12/2015,12:11:00,4E,1300 N STOCKTON ST,COMMON ASSAULT,,743,WESTERN,Sandtown-Winchester,"(39.304110000000, -76.638240000000)",1
10/12/2015,12:00:00,5C,1500 N SMALLWOOD ST,BURGLARY,,741,WESTERN,Easterwood,"(39.305500000000, -76.652420000000)",1
10/12/2015,12:00:00,6J,900 S CONKLING ST,LARCENY,,232,SOUTHEASTERN,Canton,"(39.281830000000, -76.566880000000)",1
10/12/2015,11:47:00,6C,6300 EASTERN AVE,LARCENY,,242,SOUTHEASTERN,Pulaski Industrial Area,"(39.287610000000, -76.539820000000)",1
10/12/2015,09:42:00,4C,500 ROUNDVIEW RD,AGG. ASSAULT,OTHER,922,SOUTHERN,Cherry Hill,"(39.248720000000, -76.620180000000)",1
10/12/2015,09:30:00,6G,600 N ROBINSON ST,LARCENY,,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.298550000000, -76.573100000000)",1
10/12/2015,08:30:00,6C,2400 W LAFAYETTE AVE,LARCENY,,723,WESTERN,Bridgeview/Greenlawn,"(39.298430000000, -76.655600000000)",1
10/12/2015,08:00:00,6G,1100 BOLTON ST,LARCENY,,132,CENTRAL,Madison Park,"(39.303430000000, -76.622650000000)",1
10/12/2015,07:15:00,5A,900 PENNSYLVANIA AVE,BURGLARY,,121,CENTRAL,Heritage Crossing,"(39.297050000000, -76.626690000000)",1
10/12/2015,06:31:00,3AO,600 N EUTAW ST,ROBBERY - STREET,OTHER,143,CENTRAL,Seton Hill,"(39.295910000000, -76.621370000000)",1
10/12/2015,06:15:00,4E,600 N LINWOOD AVE,COMMON ASSAULT,,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.298360000000, -76.576570000000)",1
10/12/2015,04:04:00,4B,500 N ROSE ST,AGG. ASSAULT,KNIFE,221,SOUTHEASTERN,McElderry Park,"(39.297410000000, -76.581530000000)",1
10/12/2015,04:03:00,4C,3200 LILY AVE,AGG. ASSAULT,OTHER,922,SOUTHERN,Cherry Hill,"(39.246390000000, -76.637610000000)",1
10/12/2015,03:15:00,6D,2300 ORLEANS ST,LARCENY FROM AUTO,,221,SOUTHEASTERN,Patterson Place,"(39.295530000000, -76.583960000000)",1
10/12/2015,03:00:00,4E,800 ABBOTT CT,COMMON ASSAULT,,312,EASTERN,Oldtown,"(39.301190000000, -76.605490000000)",1
10/12/2015,0219,9S,1800 MC HENRY ST,SHOOTING,FIREARM,934,SOUTHERN,Carrollton Ridge,"(39.284330000000, -76.645100000000)",1
10/12/2015,02:19:00,4A,1800 MCHENRY ST,AGG. ASSAULT,FIREARM,934,SOUTHERN,Carrollton Ridge,"(39.284280000000, -76.645100000000)",1
10/12/2015,00:20:00,5D,3300 E BALTIMORE ST,BURGLARY,,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.292480000000, -76.570190000000)",1
10/13/2015,23:25:00,3B,700 E PRATT ST,ROBBERY - STREET,,112,CENTRAL,Inner Harbor,"(39.286820000000, -76.606390000000)",1
10/13/2015,23:00:00,5C,400 E CLEMENT ST,BURGLARY,,943,SOUTHERN,Riverside,"(39.273890000000, -76.608080000000)",1
10/13/2015,22:35:00,6J,400 W PRATT ST,LARCENY,,113,CENTRAL,Downtown West,"(39.286230000000, -76.620920000000)",1
10/13/2015,22:26:00,5E,2500 SOUTHDENE AVE,BURGLARY,,923,SOUTHERN,Lakeland,"(39.254470000000, -76.648520000000)",1
10/13/2015,21:35:00,8H,2800 CARVER RD,ARSON,FIRE,922,SOUTHERN,Cherry Hill,"(39.247210000000, -76.626000000000)",1
10/13/2015,21:30:00,4D,700 UMBRA ST,AGG. ASSAULT,HANDS,242,SOUTHEASTERN,Greektown,"(39.284940000000, -76.550240000000)",1
10/13/2015,21:05:00,4E,600 CHERRYCREST RD,COMMON ASSAULT,,922,SOUTHERN,Cherry Hill,"(39.248640000000, -76.621340000000)",1
10/13/2015,21:00:00,5A,200 N PAYSON ST,BURGLARY,,714,WESTERN,Penrose/Fayette Street Ou,"(39.290930000000, -76.648860000000)",1
10/13/2015,21:00:00,6D,6200 FORTVIEW WAY,LARCENY FROM AUTO,,243,SOUTHEASTERN,O'Donnell Heights,"(39.277690000000, -76.541790000000)",1
10/13/2015,20:30:00,7A,1000 COMET ST,AUTO THEFT,,211,SOUTHEASTERN,Pleasant View Gardens,"(39.292480000000, -76.603240000000)",1
10/13/2015,19:45:00,4E,3300 FREDERICK AVE,COMMON ASSAULT,,842,SOUTHWESTERN,Irvington,"(39.280970000000, -76.672350000000)",1
10/13/2015,19:32:00,6C,200 ALBEMARLE ST,LARCENY,,211,SOUTHEASTERN,Little Italy,"(39.286820000000, -76.602780000000)",1
10/13/2015,19:27:00,6C,1200 S PONCA ST,LARCENY,,233,SOUTHEASTERN,Canton Industrial Area,"(39.279640000000, -76.554530000000)",1
10/13/2015,19:07:00,3P,1100 BOLTON ST,ROBBERY - STREET,,132,CENTRAL,Madison Park,"(39.303430000000, -76.622650000000)",1
10/13/2015,19:02:00,7A,900 N MONROE ST,AUTO THEFT,,722,WESTERN,Midtown-Edmondson,"(39.299120000000, -76.647570000000)",1
10/13/2015,19:00:00,4D,300 SAINT PAUL PL,AGG. ASSAULT,HANDS,111,CENTRAL,Downtown,"(39.292540000000, -76.613500000000)",1
10/13/2015,19:00:00,5D,600 S SMALLWOOD ST,BURGLARY,,841,SOUTHWESTERN,Carrollton Ridge,"(39.280010000000, -76.650070000000)",1
10/13/2015,19:00:00,6C,6300 EASTERN AVE,LARCENY,,242,SOUTHEASTERN,Pulaski Industrial Area,"(39.287610000000, -76.539820000000)",1
10/13/2015,19:00:00,6F,1100 SCOTT ST,LARCENY,,932,SOUTHERN,Washington Village/Pigtow,"(39.279940000000, -76.628640000000)",1
10/13/2015,19:00:00,7A,100 BENTALOU ST,AUTO THEFT,,714,WESTERN,Penrose/Fayette Street Ou,"(39.289990000000, -76.652940000000)",1
10/13/2015,18:52:00,4E,3500 BOSTON ST,COMMON ASSAULT,,233,SOUTHEASTERN,Canton Industrial Area,"(39.277050000000, -76.566940000000)",1
10/13/2015,18:21:00,4E,1000 N BROADWAY,COMMON ASSAULT,,313,EASTERN,Gay Street,"(39.302220000000, -76.594670000000)",1
10/13/2015,18:04:00,4C,0 CUSTOM HOUSE AVE,AGG. ASSAULT,OTHER,111,CENTRAL,Downtown,"(39.289590000000, -76.609810000000)",1
10/13/2015,18:00:00,5C,400 E GITTINGS ST,BURGLARY,,943,SOUTHERN,Riverside,"(39.274330000000, -76.607600000000)",1
10/13/2015,18:00:00,6G,1700 COLE ST,LARCENY,,935,SOUTHERN,New Southwest/Mount Clare,"(39.282110000000, -76.643750000000)",1
10/13/2015,17:30:00,7A,1500 BOYLE ST,AUTO THEFT,,943,SOUTHERN,Riverside,"(39.271720000000, -76.602930000000)",1
10/13/2015,17:10:00,3AK,BALTIMORE ST & N HOWARD ST,ROBBERY - STREET,KNIFE,111,CENTRAL,Downtown,"(39.289350000000, -76.619450000000)",1
10/13/2015,17:05:00,6C,3500 BOSTON ST,LARCENY,,233,SOUTHEASTERN,Canton Industrial Area,"(39.277050000000, -76.566940000000)",1
10/13/2015,17:00:00,5D,800 W SARATOGA ST,BURGLARY,,712,WESTERN,Poppleton,"(39.292610000000, -76.631090000000)",1
10/13/2015,16:54:00,4E,200 N PAYSON ST,COMMON ASSAULT,,714,WESTERN,Penrose/Fayette Street Ou,"(39.291670000000, -76.648820000000)",1
10/13/2015,15:51:00,5D,200 E READ ST,BURGLARY,,142,CENTRAL,Mount Vernon,"(39.299790000000, -76.612940000000)",1
10/13/2015,15:30:00,4E,300 E MADISON ST,COMMON ASSAULT,,312,EASTERN,Penn-Fallsway,"(39.298830000000, -76.610420000000)",1
10/13/2015,15:30:00,6D,1200 HOLLINS ST,LARCENY FROM AUTO,,931,SOUTHERN,Hollins Market,"(39.287540000000, -76.637480000000)",1
10/13/2015,15:30:00,6G,1300 MCCULLOH ST,LARCENY,,132,CENTRAL,Madison Park,"(39.302710000000, -76.627920000000)",1
10/13/2015,15:30:00,6G,1300 MCCULLOH ST,LARCENY,,132,CENTRAL,Madison Park,"(39.302710000000, -76.627920000000)",1
10/13/2015,15:15:00,4B,800 BATTERY AVE,AGG. ASSAULT,KNIFE,942,SOUTHERN,Federal Hill,"(39.279980000000, -76.609910000000)",1
10/13/2015,15:00:00,4B,ST & N PATTERSON PARK AV,AGG. ASSAULT,KNIFE,321,EASTERN,McElderry Park,"(39.296610000000, -76.584990000000)",1
10/13/2015,15:00:00,4E,4300 10TH ST,COMMON ASSAULT,,913,SOUTHERN,Brooklyn,"(39.226390000000, -76.599880000000)",1
10/13/2015,15:00:00,5A,2500 MARBOURNE AVE,BURGLARY,,923,SOUTHERN,Lakeland,"(39.253060000000, -76.647070000000)",1
10/13/2015,14:57:00,6G,200 INTERNATIONAL DR,LARCENY,,211,SOUTHEASTERN,Inner Harbor,"(39.282610000000, -76.601900000000)",1
10/13/2015,14:12:00,6C,600 E PRATT ST,LARCENY,,112,CENTRAL,Inner Harbor,"(39.286700000000, -76.607810000000)",1
10/13/2015,13:53:00,6C,3800 E LOMBARD ST,LARCENY,,223,SOUTHEASTERN,Baltimore Highlands,"(39.291500000000, -76.565520000000)",1
10/13/2015,13:05:00,4E,1400 ORLEANS ST,COMMON ASSAULT,,321,EASTERN,Dunbar-Broadway,"(39.295130000000, -76.598610000000)",1
10/13/2015,12:30:00,5C,2600 FAIT AVE,BURGLARY,,232,SOUTHEASTERN,Canton,"(39.283070000000, -76.578950000000)",1
10/13/2015,12:26:00,6C,200 E BALTIMORE ST,LARCENY,,111,CENTRAL,Downtown,"(39.289630000000, -76.611890000000)",1
10/13/2015,11:47:00,4E,300 S BROADWAY,COMMON ASSAULT,,213,SOUTHEASTERN,Fells Point,"(39.287470000000, -76.593550000000)",1
10/13/2015,11:42:00,6C,6300 EASTERN AVE,LARCENY,,242,SOUTHEASTERN,Pulaski Industrial Area,"(39.287610000000, -76.539820000000)",1
10/13/2015,11:40:00,4E,2000 BAYARD ST,COMMON ASSAULT,,941,SOUTHERN,Carroll - Camden Industri,"(39.273250000000, -76.628520000000)",1
10/13/2015,11:25:00,6J,200 E BALTIMORE ST,LARCENY,,111,CENTRAL,Downtown,"(39.289680000000, -76.612010000000)",1
10/13/2015,11:15:00,6J,FRANKLIN ST & N WARWICK AV,LARCENY,,842,WESTERN,Penrose/Fayette Street Ou,"(39.293320000000, -76.656620000000)",1
10/13/2015,11:00:00,5A,0 POULTNEY ST,BURGLARY,,942,SOUTHERN,Federal Hill,"(39.277520000000, -76.613460000000)",1
10/13/2015,11:00:00,5A,400 NORTH BEND RD,BURGLARY,,823,SOUTHWESTERN,Westgate,"(39.284400000000, -76.708550000000)",1
10/13/2015,11:00:00,7A,1300 E FAYETTE ST,AUTO THEFT,,212,SOUTHEASTERN,Dunbar-Broadway,"(39.292590000000, -76.599570000000)",1
10/13/2015,10:45:00,6D,1500 ORLEANS ST,LARCENY FROM AUTO,,321,EASTERN,Dunbar-Broadway,"(39.295200000000, -76.597190000000)",1
10/13/2015,10:15:00,5B,1000 NEW HOPE CIR,BURGLARY,,211,SOUTHEASTERN,Pleasant View Gardens,"(39.293860000000, -76.602840000000)",1
10/13/2015,10:08:00,4B,300 E MADISON ST,AGG. ASSAULT,KNIFE,312,EASTERN,Penn-Fallsway,"(39.298830000000, -76.610420000000)",1
10/13/2015,10:00:00,5A,3700 7TH ST,BURGLARY,,913,SOUTHERN,Brooklyn,"(39.234630000000, -76.601350000000)",1
10/13/2015,09:39:00,3B,600 S HANOVER ST,ROBBERY - STREET,,941,SOUTHERN,Otterbein,"(39.281980000000, -76.615910000000)",1
10/13/2015,09:25:00,6C,1600 PENNSYLVANIA AVE,LARCENY,,123,CENTRAL,Upton,"(39.303440000000, -76.634580000000)",1
10/13/2015,09:00:00,7A,700 MOUNT HOLLY ST,AUTO THEFT,,844,SOUTHWESTERN,Edgewood,"(39.295390000000, -76.679820000000)",1
10/13/2015,08:45:00,4E,2500 LAURETTA AVE,COMMON ASSAULT,,721,WESTERN,Rosemont Homeowners/Tenan,"(39.293970000000, -76.657060000000)",1
10/13/2015,08:00:00,7A,2300 W LANVALE ST,AUTO THEFT,,721,WESTERN,Evergreen Lawn,"(39.297060000000, -76.653600000000)",1
10/13/2015,07:00:00,6D,200 WATER ST,LARCENY FROM AUTO,,111,CENTRAL,Downtown,"(39.288330000000, -76.611530000000)",1
10/13/2015,04:55:00,5D,2100 W PATAPSCO AVE,BURGLARY,,923,SOUTHERN,Lakeland,"(39.250990000000, -76.644540000000)",1
10/13/2015,03:08:00,5D,2200 EAGLE ST,BURGLARY,,841,SOUTHWESTERN,Carrollton Ridge,"(39.280010000000, -76.650190000000)",1
10/13/2015,02:34:00,3AO,0 W BALTIMORE ST,ROBBERY - STREET,OTHER,111,CENTRAL,Downtown,"(39.289490000000, -76.615320000000)",1
10/13/2015,02:00:00,7C,3000 PRESSTMAN ST,AUTO THEFT,,813,SOUTHWESTERN,Rosemont,"(39.304530000000, -76.667920000000)",1
10/13/2015,01:45:00,6C,3300 FREDERICK AVE,LARCENY,,833,SOUTHWESTERN,Irvington,"(39.280970000000, -76.672740000000)",1
10/13/2015,00:00:00,6E,300 W FAYETTE ST,LARCENY,,111,CENTRAL,Downtown,"(39.290460000000, -76.619960000000)",1
10/14/2015,23:30:00,4E,2600 FREDERICK AVE,COMMON ASSAULT,,842,SOUTHWESTERN,Shipley Hill,"(39.282450000000, -76.657430000000)",1
10/14/2015,23:30:00,4F,2600 FREDERICK AVE,ASSAULT BY THREAT,,842,SOUTHWESTERN,Shipley Hill,"(39.282450000000, -76.657430000000)",1
10/14/2015,23:30:00,6D,4800 WESTPARKWAY,LARCENY FROM AUTO,,823,SOUTHWESTERN,West Hills,"(39.296050000000, -76.704500000000)",1
10/14/2015,23:30:00,7A,4800 WESTPARKWAY,AUTO THEFT,,823,SOUTHWESTERN,West Hills,"(39.296050000000, -76.704500000000)",1
10/14/2015,23:00:00,7A,400 MAUDE AVE,AUTO THEFT,,913,SOUTHERN,Brooklyn,"(39.239080000000, -76.603440000000)",1
10/14/2015,22:20:00,6D,200 PARKIN ST,LARCENY FROM AUTO,,932,SOUTHERN,Washington Village/Pigtow,"(39.285750000000, -76.630530000000)",1
10/14/2015,21:50:00,3B,800 N FREMONT AVE,ROBBERY - STREET,,713,WESTERN,Harlem Park,"(39.298870000000, -76.634390000000)",1
10/14/2015,21:30:00,6C,3300 E FAYETTE ST,LARCENY,,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.294810000000, -76.570810000000)",1
10/14/2015,21:00:00,6D,1500 WASHINGTON BLVD,LARCENY FROM AUTO,,935,SOUTHERN,Carroll Park,"(39.279070000000, -76.637450000000)",1
10/14/2015,21:00:00,6G,0 MARKET PL,LARCENY,,111,CENTRAL,Downtown,"(39.289430000000, -76.606700000000)",1
10/14/2015,21:00:00,7A,400 WASHBURN AVE,AUTO THEFT,,913,SOUTHERN,Brooklyn,"(39.235030000000, -76.605890000000)",1
10/14/2015,21:00:00,7A,1700 LETITIA AVE,AUTO THEFT,,831,SOUTHWESTERN,Morrell Park,"(39.264750000000, -76.657990000000)",1
10/14/2015,20:30:00,6E,400 JOPLIN ST,LARCENY,,241,SOUTHEASTERN,Bayview,"(39.289070000000, -76.538230000000)",1
10/14/2015,20:30:00,7A,700 VINE ST,AUTO THEFT,,122,CENTRAL,Poppleton,"(39.290660000000, -76.628500000000)",1
10/14/2015,20:20:00,4E,1500 RUSSELL ST,COMMON ASSAULT,,941,SOUTHERN,Carroll - Camden Industri,"(39.274080000000, -76.627690000000)",1
10/14/2015,20:00:00,6D,1600 JACKSON ST,LARCENY FROM AUTO,,943,SOUTHERN,Riverside,"(39.271510000000, -76.605070000000)",1
10/14/2015,20:00:00,6D,700 VINE ST,LARCENY FROM AUTO,,122,CENTRAL,Poppleton,"(39.290640000000, -76.629000000000)",1
10/14/2015,20:00:00,7A,1100 SCOTT ST,AUTO THEFT,,932,SOUTHERN,Washington Village/Pigtow,"(39.279920000000, -76.628710000000)",1
10/14/2015,19:30:00,7A,700 N GLOVER ST,AUTO THEFT,,323,EASTERN,Madison-Eastend,"(39.299290000000, -76.580240000000)",1
10/14/2015,19:00:00,7A,1000 JACK PL,AUTO THEFT,,913,SOUTHERN,Brooklyn,"(39.230330000000, -76.597290000000)",1
10/14/2015,18:48:00,3B,900 BRUNSWICK ST,ROBBERY - STREET,,841,SOUTHWESTERN,Millhill,"(39.276770000000, -76.657940000000)",1
10/14/2015,18:29:00,4C,1500 RUSSELL ST,AGG. ASSAULT,OTHER,941,SOUTHERN,Carroll - Camden Industri,"(39.274080000000, -76.627690000000)",1
10/14/2015,18:15:00,4B,4600 PARKTON ST,AGG. ASSAULT,KNIFE,833,SOUTHWESTERN,Yale Heights,"(39.278020000000, -76.692090000000)",1
10/14/2015,18:03:00,6C,2600 W PATAPSCO AVE,LARCENY,,923,SOUTHERN,Lakeland,"(39.253770000000, -76.654220000000)",1
10/14/2015,18:00:00,7A,1900 E BALTIMORE ST,AUTO THEFT,,212,SOUTHEASTERN,Washington Hill,"(39.291690000000, -76.590360000000)",1
10/14/2015,17:45:00,4C,1200 E FORT AVE,AGG. ASSAULT,OTHER,943,SOUTHERN,Locust Point Industrial A,"(39.270250000000, -76.597250000000)",1
10/14/2015,17:15:00,6F,400 CATHEDRAL ST,LARCENY,,111,CENTRAL,Downtown,"(39.294150000000, -76.616850000000)",1
10/14/2015,17:00:00,6D,1100 WILLIAM ST,LARCENY FROM AUTO,,942,SOUTHERN,Riverside,"(39.276790000000, -76.610660000000)",1
10/14/2015,17:00:00,6D,5800 BANK ST,LARCENY FROM AUTO,,241,SOUTHEASTERN,Hopkins Bayview,"(39.288920000000, -76.546550000000)",1
10/14/2015,16:40:00,4C,2700 JEFFERSON ST,AGG. ASSAULT,OTHER,221,SOUTHEASTERN,McElderry Park,"(39.296890000000, -76.578900000000)",1
10/14/2015,16:30:00,5A,2600 SAINT BENEDICT ST,BURGLARY,,841,SOUTHWESTERN,Millhill,"(39.279080000000, -76.657750000000)",1
10/14/2015,16:30:00,7C,600 POPLAR GROVE ST,AUTO THEFT,,814,SOUTHWESTERN,Franklintown Road,"(39.294900000000, -76.664990000000)",1
10/14/2015,16:15:00,3B,500 DOLPHIN ST,ROBBERY - STREET,,123,CENTRAL,Upton,"(39.300930000000, -76.627910000000)",1
10/14/2015,15:50:00,6J,900 POPLAR GROVE ST,LARCENY,,814,SOUTHWESTERN,Franklintown Road,"(39.298120000000, -76.665160000000)",1
10/14/2015,15:30:00,6G,100 S CHARLES ST,LARCENY,,113,CENTRAL,Downtown West,"(39.287530000000, -76.615000000000)",1
10/14/2015,15:05:00,6D,300 JOPLIN ST,LARCENY FROM AUTO,,241,SOUTHEASTERN,Bayview,"(39.290260000000, -76.538230000000)",1
10/14/2015,15:00:00,5A,1900 ORLEANS ST,BURGLARY,,321,EASTERN,CARE,"(39.295330000000, -76.590140000000)",1
10/14/2015,14:50:00,3B,100 E BALTIMORE ST,ROBBERY - STREET,,111,CENTRAL,Downtown,"(39.289610000000, -76.613700000000)",1
10/14/2015,14:35:00,5A,1200 N CURLEY ST,BURGLARY,,332,EASTERN,Berea,"(39.305340000000, -76.576300000000)",1
10/14/2015,14:20:00,4C,1800 WASHINGTON BLVD,AGG. ASSAULT,OTHER,935,SOUTHERN,Carroll Park,"(39.274730000000, -76.642960000000)",1
10/14/2015,14:15:00,4D,1700 E FAIRMOUNT AVE,AGG. ASSAULT,HANDS,212,SOUTHEASTERN,Washington Hill,"(39.292660000000, -76.592480000000)",1
10/14/2015,14:15:00,6D,300 N CALVERT ST,LARCENY FROM AUTO,,111,CENTRAL,Downtown,"(39.292890000000, -76.612520000000)",1
10/14/2015,14:00:00,5A,800 N MONTFORD AVE,BURGLARY,,323,EASTERN,Milton-Montford,"(39.300270000000, -76.583840000000)",1
10/14/2015,14:00:00,5C,400 S POPPLETON ST,BURGLARY,,932,SOUTHERN,Washington Village/Pigtow,"(39.283430000000, -76.631780000000)",1
10/14/2015,14:00:00,6G,500 S FULTON AVE,LARCENY,,935,SOUTHERN,Carrollton Ridge,"(39.281480000000, -76.644770000000)",1
10/14/2015,13:00:00,6C,700 S BROADWAY,LARCENY,,213,SOUTHEASTERN,Fells Point,"(39.283290000000, -76.593150000000)",1
10/14/2015,12:45:00,3B,1500 LESTER MORTON CT,ROBBERY - STREET,,313,EASTERN,Gay Street,"(39.298720000000, -76.597160000000)",1
10/14/2015,12:40:00,3B,3300 EASTERN AVE,ROBBERY - STREET,,231,SOUTHEASTERN,Highlandtown,"(39.286540000000, -76.569890000000)",1
10/14/2015,12:30:00,4A,200 STONECROFT RD,AGG. ASSAULT,FIREARM,823,SOUTHWESTERN,Westgate,"(39.280680000000, -76.707400000000)",1
10/14/2015,12:30:00,4E,400 S SMALLWOOD ST,COMMON ASSAULT,,841,SOUTHWESTERN,Carrollton Ridge,"(39.282780000000, -76.651220000000)",1
10/14/2015,12:30:00,4E,400 S SMALLWOOD ST,COMMON ASSAULT,,841,SOUTHWESTERN,Carrollton Ridge,"(39.282780000000, -76.651220000000)",1
10/14/2015,12:00:00,5B,4700 SAYER AVE,BURGLARY,,822,SOUTHWESTERN,Tremont,"(39.284220000000, -76.693720000000)",1
10/14/2015,12:00:00,6C,6300 EASTERN AVE,LARCENY,,242,SOUTHEASTERN,Pulaski Industrial Area,"(39.287610000000, -76.539820000000)",1
10/14/2015,12:00:00,6D,1500 ASHLAND AVE,LARCENY FROM AUTO,,313,EASTERN,Gay Street,"(39.300410000000, -76.597530000000)",1
10/14/2015,11:45:00,5C,400 S REGESTER ST,BURGLARY,,213,SOUTHEASTERN,Fells Point,"(39.285980000000, -76.592440000000)",1
10/14/2015,11:25:00,6J,100 N HOWARD ST,LARCENY,,111,CENTRAL,Downtown,"(39.290540000000, -76.619540000000)",1
10/14/2015,10:00:00,4E,100 N CHARLES ST,COMMON ASSAULT,,111,CENTRAL,Downtown,"(39.290570000000, -76.615240000000)",1
10/14/2015,10:00:00,5A,2300 SEAMON AVE,BURGLARY,,922,SOUTHERN,Cherry Hill,"(39.253280000000, -76.624470000000)",1
10/14/2015,09:26:00,4E,600 E PRATT ST,COMMON ASSAULT,,112,CENTRAL,Inner Harbor,"(39.286700000000, -76.607810000000)",1
10/14/2015,09:25:00,5A,3000 E FAYETTE ST,BURGLARY,,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.294740000000, -76.574310000000)",1
10/14/2015,09:00:00,5A,0 N BELNORD AVE,BURGLARY,,222,SOUTHEASTERN,Patterson Park Neighborho,"(39.292780000000, -76.578300000000)",1
10/14/2015,08:45:00,3AF,100 N CONKLING ST,ROBBERY - STREET,FIREARM,223,SOUTHEASTERN,Baltimore Highlands,"(39.293720000000, -76.567660000000)",1
10/14/2015,08:30:00,4E,600 PITCHER ST,COMMON ASSAULT,,123,CENTRAL,Upton,"(39.303090000000, -76.634210000000)",1
10/14/2015,08:15:00,5A,900 DANTREY CT,BURGLARY,,913,SOUTHERN,Brooklyn,"(39.229740000000, -76.599510000000)",1
10/14/2015,08:00:00,5B,2400 WASHINGTON BLVD,BURGLARY,,831,SOUTHWESTERN,Morrell Park,"(39.267310000000, -76.651720000000)",1
10/14/2015,06:00:00,5B,200 S BOULDIN ST,BURGLARY,,231,SOUTHEASTERN,Highlandtown,"(39.289040000000, -76.570880000000)",1
10/14/2015,05:22:00,4E,400 S CONKLING ST,COMMON ASSAULT,,231,SOUTHEASTERN,Highlandtown,"(39.287370000000, -76.567240000000)",1
10/14/2015,05:13:00,6D,5400 FREDERICK AVE,LARCENY FROM AUTO,,823,SOUTHWESTERN,Westgate,"(39.279660000000, -76.706810000000)",1
10/14/2015,05:00:00,5B,0 N ANN ST,BURGLARY,,212,SOUTHEASTERN,Washington Hill,"(39.292390000000, -76.591780000000)",1
10/14/2015,01:05:00,6C,6300 EASTERN AVE,LARCENY,,242,SOUTHEASTERN,Pulaski Industrial Area,"(39.287610000000, -76.539820000000)",1
10/14/2015,01:00:00,4E,4700 SAYER AVE,COMMON ASSAULT,,822,SOUTHWESTERN,Tremont,"(39.284190000000, -76.694380000000)",1
10/14/2015,00:18:00,6G,2800 E CHASE ST,LARCENY,,323,EASTERN,Biddle Street,"(39.303850000000, -76.578090000000)",1
10/14/2015,00:02:00,4C,1000 DRUID HILL AVE,AGG. ASSAULT,OTHER,123,CENTRAL,Upton,"(39.300150000000, -76.626310000000)",1
10/14/2015,00:02:00,4C,1000 DRUID HILL AVE,AGG. ASSAULT,OTHER,123,CENTRAL,Upton,"(39.300150000000, -76.626310000000)",1
10/14/2015,00:02:00,4C,1000 DRUID HILL AVE,AGG. ASSAULT,OTHER,123,CENTRAL,Upton,"(39.300150000000, -76.626310000000)",1
10/14/2015,00:02:00,4C,1000 DRUID HILL AVE,AGG. ASSAULT,OTHER,123,CENTRAL,Upton,"(39.300150000000, -76.626310000000)",1
10/14/2015,00:02:00,4C,1000 DRUID HILL AVE,AGG. ASSAULT,OTHER,123,CENTRAL,Upton,"(39.300150000000, -76.626310000000)",1
10/14/2015,00:02:00,4C,1000 DRUID HILL AVE,AGG. ASSAULT,OTHER,123,CENTRAL,Upton,"(39.300150000000, -76.626310000000)",1
